Name;Description
VAL_23-KA-9101-M01_Motor_Winding_Temp_Warning:VALUE;PH (SwitchGear) MV-COMP.M. FEEDER/ motor winding warning 
VAL_23-KA-9101-M01_Number_of_CB_Operations:VALUE;PH (SwitchGear) MV-COMP.M. FEEDER/ Number of CB Operations
VAL_23-KA-9101-M01_OC_high stage_negative_seq_NPShigh:VALUE;PH (SwitchGear) 
VAL_23-KA-9101-M01_OC_high stage_NOC3high:VALUE;PH (SwitchGear) MV-COMP.M. FEEDER/ 50/51/51B-protection (trip 3I>>)
VAL_23-KA-9101-M01_OC_instantaneous_NOC3inst:VALUE;PH (SwitchGear) MV-COMP.M. FEEDER/ 50/51B-protection (trip 3I>>>)
VAL_23-KA-9101-M01_OC_instantaneous_residual_NEF1inst:VALUE;PH (SwitchGear) MV-COMP.M. FEEDER/ 51-3  Non Directional Earth Fault (trip Io>>>)
VAL_23-KA-9101-M01_OC_low stage_negative_seq_NPSlow:VALUE;PH (SwitchGear) 
VAL_23-KA-9101-M01_OC_low stage_NOC3low:VALUE;PH (SwitchGear) MV-COMP.M. FEEDER/ 51-protection (trip 3I>)
VAL_23-KA-9101-M01_OC_low_stage_residual_NEF1low:VALUE;PH (SwitchGear) MV-COMP.M. FEEDER/ 51-1 Non Directional Earth Fault (trip Io>)
VAL_23-KA-9101-M01_Reactive_power_kVAr:VALUE;PH (SwitchGear) 
VAL_23-KA-9101-M01_REM543_in_test_mode:VALUE;PH (SwitchGear) MV-COMP.M. FEEDER/ REM543 in test mode
VAL_23-KA-9101-M01_Running_hours:VALUE;PH (SwitchGear) 
VAL_23-KA-9101-M01_Selector_switch_local_remote:VALUE;PH (SwitchGear) MV-COMP.M. FEEDER/ Selector switch local / remote
VAL_23-KA-9101-M01_Spring_Charging_Alarm:VALUE;PH (SwitchGear) MV-COMP.M. FEEDER/ Spring Charging Alarm
VAL_23-KA-9101-M01_TCS_Protection_Trip:VALUE;PH (SwitchGear) MV-COMP.M. FEEDER/ TCS Protection Trip
VAL_23-KA-9101-M01_Thermal_overload_TOL3dev:VALUE;PH (SwitchGear) 
VAL_23-KA-9101-M01_Winding_Temperature_U1:VALUE;PH (SwitchGear) 
VAL_23-KA-9101-M01_Winding_Temperature_V1:VALUE;PH (SwitchGear) 
VAL_23-KA-9101-M01_Winding_Temperature_W1:VALUE;PH (SwitchGear) 
VAL_23-KA-9101_APE:VALUE;PH (CBM) 1st Stage ActCompr Poly Eff
VAL_23-KA-9101_APH:VALUE;PH (CBM) 1st Stg ActCompr Poly Head
VAL_23-KA-9101_APR:VALUE;PH (CBM) 1st Stage ActPress Ratio
VAL_23-KA-9101_ASP:VALUE;PH (CBM) 1st Stage ActShaft Power
VAL_23-KA-9101_EPE:VALUE;PH (CBM) 1st Stage ExpCompr Poly Eff
VAL_23-KA-9101_EPH:VALUE;PH (CBM) 1st Stg ExpCompr Poly Head
VAL_23-KA-9101_EPR:VALUE;PH (CBM) 1st Stage ExpPress Ratio
VAL_23-KA-9101_ESP:VALUE;PH (CBM) 1st Stage ExpShaft Power
VAL_23-KA-9101_PED:VALUE;PH (CBM) 1st Stage Poly Eff Dev
VAL_23-KA-9101_PHD:VALUE;PH (CBM) 1st Stage Poly Head Dev
VAL_23-KA-9101_PRD:VALUE;PH (CBM) 1st Stage Press Rat Dev
VAL_23-KA-9101_SPD:VALUE;PH (CBM) 1st Stage Shft Pwr Dev
VAL_23-LIC-92521:Control Module:BA;PH 1stStgSuctScrubber Level Auto
VAL_23-LIC-92521:Control Module:BX;PH 1stStgSuctScrubber Level External
VAL_23-LIC-92521:Control Module:PD;PH 1stStgSuctScrubber Level Derivate time
VAL_23-LIC-92521:Control Module:PI;PH 1stStgSuctScrubber Level Integral time
VAL_23-LIC-92521:Control Module:PP;PH 1stStgSuctScrubber Level Gain
VAL_23-LIC-92521:Control Module:YR;PH 1stStgSuctScrubber Level Working Setpoint
VAL_23-LIC-92521:Z.X.Value;PH 1stStgSuctScrubber Level Measured Value
VAL_23-LIC-92521:Z.Y.Value;PH 1stStgSuctScrubber Level Output
VAL_23-LT-92523:Z.X1.Value;PH 1stStgSuctScrubber
VAL_23-LT-92523:Z.X2.Value;PH 1stStgSuctScrubber
VAL_23-LT-92529-02:X.Value;PH 1stStgScrub I-face TopLiq
VAL_23-LT-92529-03:X.Value;PH 1stStgScrub I-face TopFoam
VAL_23-LT-96182-03:X.Value;PH 1stStg Lube Oil Reservoir
VAL_23-LT-96182:Z.X1.Value;PH 1st Stg Oil Reservoir
VAL_23-LT-96182:Z.X2.Value;PH 1st Stg Oil Reservoir
VAL_23-LV-92521A:Y.Value;PH 1stStgSuctScrubber Level
VAL_23-LV-92521B:Y.Value;PH 1stStgSuctScrubber Level
VAL_23-LY-92529_Alarms_PNTA:VALUE;PH (Profiler) Number of Active Tube Alarms
VAL_23-LY-92529_DensityBands_01gasLL:VALUE;PH (Profiler) Density Band 6 Lower Limit (GAS)
VAL_23-LY-92529_DensityBands_01gasUL:VALUE;PH (Profiler) Density Band 6 Upper Limit (GAS)
VAL_23-LY-92529_DensityBands_02foamLL:VALUE;PH (Profiler) Density Band 5 Lower Limit (FOAM)
VAL_23-LY-92529_DensityBands_02foamUL:VALUE;PH (Profiler) Density Band 5 Upper Limit (FOAM)
VAL_23-LY-92529_DensityBands_03oilLL:VALUE;PH (Profiler) Density Band 4 Lower Limit (OIL)
VAL_23-LY-92529_DensityBands_03oilUL:VALUE;PH (Profiler) Density Band 4 Upper Limit (OIL)
VAL_23-LY-92529_DensityBands_04emulsionLL:VALUE;PH (Profiler) Density Band 3 Lower Limit (EMULSION)
VAL_23-LY-92529_DensityBands_04emulsionUL:VALUE;PH (Profiler) Density Band 3 Upper Limit (EMULSION)
VAL_23-LY-92529_DensityBands_05waterLL:VALUE;PH (Profiler) Density Band 2 Lower Limit (WATER)
VAL_23-LY-92529_DensityBands_05waterUL:VALUE;PH (Profiler) Density Band 2 Upper Limit (WATER)
VAL_23-LY-92529_DensityBands_06sandLL:VALUE;PH (Profiler) Density Band 1 Lower Limit (SAND)
VAL_23-LY-92529_DensityBands_06sandUL:VALUE;PH (Profiler) Density Band 1 Upper Limit (SAND)
VAL_23-LY-92529_NON-SILStatus_Heartbeat:VALUE;PH (Profiler) System Heartbeat/Watchdog
VAL_23-LY-92529_Outputs_emulsionLevel:VALUE;PH (Profiler) % Scaled Level Output for Level D or Emulsion
VAL_23-LY-92529_Outputs_foamLevel:VALUE;PH (Profiler) % Scaled Level Output for Level B or Foam
VAL_23-LY-92529_Outputs_gasLevel:VALUE;PH (Profiler) % Scaled Level Output for Level A or Gas
VAL_23-LY-92529_Outputs_oilLevel:VALUE;PH (Profiler) % Scaled Level Output for Level C or Oil
VAL_23-LY-92529_Outputs_sandLevel:VALUE;PH (Profiler) % Scaled Level Output for Level F or Sand
VAL_23-LY-92529_Outputs_waterLevel:VALUE;PH (Profiler) % Scaled Level Output for Level E or Water
VAL_23-LY-92529_Setpoints_SP_emulsionHi:VALUE;PH (Profiler) Emulsion deadband high setpoint
VAL_23-LY-92529_Setpoints_SP_foamHi:VALUE;PH (Profiler) Foam deadband high setpoint
VAL_23-LY-92529_Setpoints_SP_gasHi:VALUE;PH (Profiler) Gas deadband high setpoint
VAL_23-LY-92529_Setpoints_SP_oilHi:VALUE;PH (Profiler) Oil deadband high setpoint
VAL_23-LY-92529_Setpoints_SP_waterHi:VALUE;PH (Profiler) Water deadband high setpoint
VAL_23-LY-92529_SILch0_SC0_TX1PSP:VALUE;PH (Profiler) Shutdown Channel 0 - Tube x1 Position Setpoint
VAL_23-LY-92529_SILch0_SC0_TX1SP:VALUE;PH (Profiler) Shutdown Channel 0 - Tube x1 Setpoint
VAL_23-LY-92529_SILch0_SC0_TXPSP:VALUE;PH (Profiler) Shutdown Channel 0 - Tube x Position Setpoint
VAL_23-LY-92529_SILch0_SC0_TXSP:VALUE;PH (Profiler) Shutdown Channel 0 - Tube x Setpoint
VAL_23-LY-92529_SILch0_SC0_TY1PSP:VALUE;PH (Profiler) Shutdown Channel 0 - Tube y1 Position Setpoint
VAL_23-LY-92529_SILch0_SC0_TY1SP:VALUE;PH (Profiler) Shutdown Channel 0 - Tube y1 Setpoint
VAL_23-LY-92529_SILch0_SC0_TYPSP:VALUE;PH (Profiler) Shutdown Channel 0 - Tube y Position Setpoint
VAL_23-LY-92529_SILch0_SC0_TYSP:VALUE;PH (Profiler) Shutdown Channel 0 - Tube y Setpoint
VAL_23-LY-92529_SILch0_SC0_WATCHDOG:VALUE;PH (Profiler) Shutdown Channel 0 - Watchdog
VAL_23-NY-96144-01:VALUE;PH (CBM) Phase A Negative NQN
VAL_23-NY-96144-02:VALUE;PH (CBM) Phase B Negative NQN
VAL_23-NY-96144-03:VALUE;PH (CBM) Phase C Negative NQN
VAL_23-NY-96144-04:VALUE;PH (CBM) Phase A Positive NQN
VAL_23-NY-96144-05:VALUE;PH (CBM) Phase B Positive NQN
VAL_23-NY-96144-06:VALUE;PH (CBM) Phase C Positive NQN
VAL_23-NY-96144-07:VALUE;PH (CBM) Phase A Negative Qmax
VAL_23-NY-96144-08:VALUE;PH (CBM) Phase B Negative Qmax
VAL_23-NY-96144-09:VALUE;PH (CBM) Phase C Negative Qmax
VAL_23-NY-96144-10:VALUE;PH (CBM) Phase A Positive Qmax
VAL_23-NY-96144-11:VALUE;PH (CBM) Phase B Positive Qmax
VAL_23-NY-96144-12:VALUE;PH (CBM) Phase C Positive Qmax
VAL_23-PC-9109-M01-39:X.Value;PH 1st Stg Aux Oil Pump Running
VAL_23-PC-9109-M01-EL:XS.MeasuredValues.CurrentL2.Value.Value;PH 1stStg Comp Lube Oil Pump
VAL_23-PC-9109-M01:Z.Y.Value;PH 1stStg Comp Lube Oil Pump
VAL_23-PDI-96149:X.Value;PH 1st Stg Comp Over Inner Seal
VAL_23-PDI-96150:X.Value;PH 1st Stg Comp Over Inner Seal
VAL_23-PDI-96249:X.Value;PH 1st Stg Comp Over Inner Seal
VAL_23-PDT-92501:X.Value;PH 1stStgSuctCool Gas In ESDV
VAL_23-PDT-92502:X.Value;PH 1stStgSuctCool Tubes
VAL_23-PDT-92522:X.Value;PH 1stStgSuctScrubber Gas Out
VAL_23-PDT-92530:X.Value;PH 1stStgComp Suct Str
VAL_23-PDT-92534:X.Value;PH 1stStgComp Suction
VAL_23-PDT-92551:X.Value;PH 1stStgDiscCool Gas Out ESDV
VAL_23-PDT-92602:X.Value;PH 1st Stg Disch Gas Coolers
VAL_23-PDT-96143:X.Value;PH 1st Stg Encl Coalesar Filter
VAL_23-PDT-96146:X.Value;PH 1st Stg Comp Gas Filter
VAL_23-PDT-96155:X.Value;PH 1st Stg Comp SEP. Gas Filter
VAL_23-PDT-96161:X.Value;PH 1st Stg Comp Booster Filter
VAL_23-PDT-96162:X.Value;PH 1st Stg Comp Booster
VAL_23-PDT-96167:X.Value;PH 1stStg Comp Balance Piston
VAL_23-PDT-96180:X.Value;PH 1st Stg Lube Oil Filter
VAL_23-PIC-96153:Control Module:BA;PH 1stStg Comp Inner Seal Auto
VAL_23-PIC-96153:Control Module:BX;PH 1stStg Comp Inner Seal External
VAL_23-PIC-96153:Control Module:PD;PH 1stStg Comp Inner Seal Derivate time
VAL_23-PIC-96153:Control Module:PI;PH 1stStg Comp Inner Seal Integral time
VAL_23-PIC-96153:Control Module:PP;PH 1stStg Comp Inner Seal Gain
VAL_23-PIC-96153:Control Module:YR;PH 1stStg Comp Inner Seal Working Setpoint
VAL_23-PIC-96153:Z.X.Value;PH 1stStg Comp Inner Seal Measured Value
VAL_23-PIC-96153:Z.Y.Value;PH 1stStg Comp Inner Seal Output
VAL_23-PT-92504:X.Value;PH 1stStgSuctCool Gas Out
VAL_23-PT-92512:X.Value;PH 1stStgSuctCool Gas In
VAL_23-PT-92521:X.Value;PH 1stStgSuctScrubber
VAL_23-PT-92523:X.Value;PH 1stStgSuctScrubber
VAL_23-PT-92532:X.Value;PH 1stStgComp Suction
VAL_23-PT-92535:X.Value;PH 1stStgComp Suction
VAL_23-PT-92540:X.Value;PH 1st Stg Comp Suction
VAL_23-PT-96149:Z.X1.Value;PH 1st Stage Comp Inner Seal DE
VAL_23-PT-96149:Z.X2.Value;PH 1st Stage Comp Inner Seal DE
VAL_23-PT-96150:Z.X1.Value;PH 1st Stg Inner Seal NDE
VAL_23-PT-96150:Z.X2.Value;PH 1st Stg Inner Seal NDE
VAL_23-PT-96156:Z.X1.Value;PH 1st Stg Outer Seal DE
VAL_23-PT-96156:Z.X2.Value;PH 1st Stg Outer Seal DE
VAL_23-PT-96157:Z.X1.Value;PH 1st Stg Outer Seal NDE
VAL_23-PT-96157:Z.X2.Value;PH 1st Stg Outer Seal NDE
VAL_23-PT-96160-03:X.Value;PH 1st Stg Comp Separation Gas
VAL_23-PT-96160:Z.X1.Value;PH 1st Stg Comp Separation Gas
VAL_23-PT-96160:Z.X2.Value;PH 1st Stg Comp Separation Gas
VAL_23-PT-96186-03:X.Value;PH 1st Stg Lube Lube Oil Header
VAL_23-PT-96186:Z.X1.Value;PH 1st Stg Oil Header
VAL_23-PT-96186:Z.X2.Value;PH 1st Stg Oil Header
VAL_23-TE-96137-01:X.Value;PH 1stStg Mtr Cold Air
VAL_23-TE-96137-02:X.Value;PH 1stStg Mtr Cold Air
VAL_23-TE-96137-03:X.Value;PH 1stStg Mtr Hot Air
VAL_23-TIC-92504:Control Module:BA;PH 1stStgSuctCool Gas Out Auto
VAL_23-TIC-92504:Control Module:BX;PH 1stStgSuctCool Gas Out External
VAL_23-TIC-92504:Control Module:PD;PH 1stStgSuctCool Gas Out Derivate time
VAL_23-TIC-92504:Control Module:PI;PH 1stStgSuctCool Gas Out Integral time
VAL_23-TIC-92504:Control Module:PP;PH 1stStgSuctCool Gas Out Gain
VAL_23-TIC-92504:Control Module:YR;PH 1stStgSuctCool Gas Out Working Setpoint
VAL_23-TIC-92504:Z.X.Value;PH 1stStgSuctCool Gas Out Measured Value
VAL_23-TIC-92504:Z.Y.Value;PH 1stStgSuctCool Gas Out Output
VAL_23-TIC-92604:Control Module:BA;PH 1stStgDiscCool Gas Out Auto
VAL_23-TIC-92604:Control Module:BX;PH 1stStgDiscCool Gas Out External
VAL_23-TIC-92604:Control Module:PD;PH 1stStgDiscCool Gas Out Derivate time
VAL_23-TIC-92604:Control Module:PI;PH 1stStgDiscCool Gas Out Integral time
VAL_23-TIC-92604:Control Module:PP;PH 1stStgDiscCool Gas Out Gain
VAL_23-TIC-92604:Control Module:YR;PH 1stStgDiscCool Gas Out Working Setpoint
VAL_23-TIC-92604:Z.X.Value;PH 1stStgDiscCool Gas Out Measured Value
VAL_23-TIC-92604:Z.Y.Value;PH 1stStgDiscCool Gas Out Output
VAL_23-TIC-92604B:Z.X.Value;PH 1stStgDiscCool Gas Out Measured Value
VAL_23-TIC-92604B:Z.Y.Value;PH 1stStgDiscCool Gas Out Output
VAL_23-TIC-96147:Control Module:BA;PH 1stStg Comp Seal Gas Auto
VAL_23-TIC-96147:Control Module:BX;PH 1stStg Comp Seal Gas External
VAL_23-TIC-96147:Control Module:PD;PH 1stStg Comp Seal Gas Derivate time
VAL_23-TIC-96147:Control Module:PI;PH 1stStg Comp Seal Gas Integral time
VAL_23-TIC-96147:Control Module:PP;PH 1stStg Comp Seal Gas Gain
VAL_23-TIC-96147:Control Module:YR;PH 1stStg Comp Seal Gas Working Setpoint
VAL_23-TIC-96147:Z.X.Value;PH 1stStg Comp Seal Gas Measured Value
VAL_23-TIC-96147:Z.Y.Value;PH 1stStg Comp Seal Gas Output
VAL_23-TIC-96148:Control Module:BA;PH 1stStg Comp Seal Gas Auto
VAL_23-TIC-96148:Control Module:BX;PH 1stStg Comp Seal Gas External
VAL_23-TIC-96148:Control Module:PD;PH 1stStg Comp Seal Gas Derivate time
VAL_23-TIC-96148:Control Module:PI;PH 1stStg Comp Seal Gas Integral time
VAL_23-TIC-96148:Control Module:PP;PH 1stStg Comp Seal Gas Gain
VAL_23-TIC-96148:Control Module:YR;PH 1stStg Comp Seal Gas Working Setpoint
VAL_23-TIC-96148:Z.X.Value;PH 1stStg Comp Seal Gas Measured Value
VAL_23-TIC-96148:Z.Y.Value;PH 1stStg Comp Seal Gas Output
VAL_23-TT-92502:X.Value;PH 1stStgSuctCool Gas In
VAL_23-TT-92512:X.Value;PH 1stStgSuctCool Gas In
VAL_23-TT-92533:X.Value;PH 1stStgComp Suction
VAL_23-TT-92602:X.Value;PH 1stStgDiscCool Gas In
VAL_23-TT-92603:X.Value;PH 1stStgDiscCool Gas Out
VAL_23-TT-92604A:X.Value;PH 1stStgDiscCool Gas Out Output
VAL_23-TT-96101-03:Z.X.Value;PH 1stStg Comp Journ BRG DE
VAL_23-TT-96102-03:Z.X.Value;PH 1stStg Comp Journ BRG NDE
VAL_23-TT-96103-01:Z.X.Value;PH 1stStg Comp Thrust BRG IN
VAL_23-TT-96103-03:Z.X.Value;PH 1stStg Comp Thrust BRG IN
VAL_23-TT-96104-01:Z.X.Value;PH 1stStg Comp Thrust BRG OUT
VAL_23-TT-96104-03:Z.X.Value;PH 1stStg Comp Thrust BRG OUT
VAL_23-TT-96111-01:Z.X.Value;PH 1stStg Comp 1 Journ BRG DE
VAL_23-TT-96111-03:Z.X.Value;PH 1stStg Comp 1 Journ BRG DE
VAL_23-TT-96112-01:Z.X.Value;PH 1stStg Comp 1 Journ BRG NDE
VAL_23-TT-96112-03:Z.X.Value;PH 1stStg Comp 1 Journ BRG NDE
VAL_23-TT-96113-01:Z.X.Value;PH 1stStg Gear2 Journ BRG NDE
VAL_23-TT-96113-03:Z.X.Value;PH 1stStg Gear2 Journ BRG NDE
VAL_23-TT-96114-01:Z.X.Value;PH 1stStg Gear2 Journ BRG DE
VAL_23-TT-96114-03:Z.X.Value;PH 1stStg Gear2 Journ BRG DE
VAL_23-TT-96115-01:Z.X.Value;PH 1stStg Gear Thrust BRG IN
VAL_23-TT-96115-03:Z.X.Value;PH 1stStg Gear Thrust BRG IN
VAL_23-TT-96116-01:Z.X.Value;PH 1stStg Gear Thrust BRG OUT
VAL_23-TT-96116-03:Z.X.Value;PH 1stStg Gear Thrust BRG OUT
VAL_23-TT-96131-01:Z.X.Value;PH 1stStg Journ BRG NDE
VAL_23-TT-96132-01:Z.X.Value;PH 1stStg Journ BRG DE
VAL_23-TT-96136-02:Z.X.Value;PH 1stStg Mtr Winding U1
VAL_23-TT-96136-05:Z.X.Value;PH 1stStg Mtr Winding V
VAL_23-TT-96136-08:Z.X.Value;PH 1stStgMtr Winding W
VAL_23-TT-96147-02:X.Value;PH 1st Stg Comp Sealgas Heater
VAL_23-TT-96168:X.Value;PH 1st Stg Comp Inner Seal
VAL_23-TT-96181-03:X.Value;PH 1stStg Lube Oil System Header
VAL_23-TT-96181:Z.X1.Value;PH 1st Stg Oil System Header
VAL_23-TT-96181:Z.X2.Value;PH 1st Stg Oil System Header
VAL_23-TT-96183:X.Value;PH 1stStg Lube Oil Reservoir
VAL_23-VA-9110-M01-39:X.Value;PH 1st Stg Oil Seperator Running
VAL_23-VA-9110-M01-EL:XS.MeasuredValues.CurrentL2.Value.Value;PH 1stStgComp Oil Mist Fan
VAL_23-VA-9110-M01:Z.Y.Value;PH 1stStgComp Oil Mist Fan
VAL_23-XA-96108-A:Z.X.Value;PH 1stStg KEYPH Comp Shaft
VAL_23-XA-96124-A:Z.X.Value;PH 1stStg KEYPH Gear1 Shaft
VAL_23-XA-96125-A:Z.X.Value;PH 1stStg KEYPH Gear2 Shaft
VAL_23-XA-96135-A:Z.X.Value;PH 1stStg KEYPH Mtr Shaft
VAL_23-YA-96105-01:Z.X.Value;PH 1stStg Comp 1 JournBRG DE
VAL_23-YA-96105-02:Z.X.Value;PH 1stStg Comp 1 JournBRG DE
VAL_23-YA-96106-01:Z.X.Value;PH 1stStg Comp1 Journ BRG NDE
VAL_23-YA-96106-02:Z.X.Value;PH 1stStg Comp1 Journ BRG NDE
VAL_23-YA-96117-01:Z.X.Value;PH 1stStg Gear1 Journ BRG DE
VAL_23-YA-96117-02:Z.X.Value;PH 1stStg Gear1 Journ BRG DE
VAL_23-YA-96118-01:Z.X.Value;PH 1stStg Gear1 Journ BRG NDE
VAL_23-YA-96118-02:Z.X.Value;PH 1stStg Gear1 Journ BRG NDE
VAL_23-YA-96119-01:Z.X.Value;PH 1stStg Gear2 Journ BRG NDE
VAL_23-YA-96119-02:Z.X.Value;PH 1stStg Gear2 Journ BRG NDE
VAL_23-YA-96120-01:Z.X.Value;PH 1stStg Gear2 Journ BRG DE
VAL_23-YA-96120-02:Z.X.Value;PH 1stStg Gear2 Journ BRG DE
VAL_23-YA-96122:Z.X.Value;PH 1stStg Gear1 Velocimeter
VAL_23-YA-96123:Z.X.Value;PH 1stStg Gear2 Velocimeter
VAL_23-YZSH-92526-F:X.Value;PH 1st Stg Comp Suct BDV SOV ZSH Flt
VAL_23-YZSL-92526-F:X.Value;PH 1st Stg Comp Suct BDV SOV ZSL Flt
VAL_23-ZA-96107-01:Z.X.Value;PH 1stStg Comp Schaft Axial
VAL_23-ZA-96107-02:Z.X.Value;PH 1stStg Comp Schaft Axial
VAL_23-ZA-96107-03:Z.X.Value;PH 1stStg Comp Schaft Axial
VAL_23-ZA-96121-01:Z.X.Value;PH 1stStg Gear Schaft Axial
VAL_23-ZA-96121-02:Z.X.Value;PH 1stStg Gear Schaft Axial
VAL_23-ZA-96121-03:Z.X.Value;PH 1stStg Gear Schaft Axial
VAL_23-ZS-96142A:X.Value;PH 1stStgComp Encl Door A
VAL_23-ZS-96142B:X.Value;PH 1stStgComp Encl Door B
VAL_23_FIC_92543_01:Z.X.Value;PH 1stStgComp AntiSrg Cntrl OP
VAL_23_FIC_92543_02:Z.X.Value;PH 1stStgComp AntSrg Act CntrlMod 
VAL_23_FIC_92543_03:Z.X.Value;PH 1stStgComp First AntSrgStat
VAL_23_FIC_92543_04:Z.X.Value;PH 1stStgComp First AntSrg Dev
VAL_23_FIC_92543_05:Z.X.Value;PH 1stStgComp First AntSrg CountTot
VAL_23_FIC_92543_06:Z.X.Value;PH 1stStgComp AntSrg Limit 1 PV
VAL_23_FIC_92543_07:Z.X.Value;PH 1stStgComp AntSrg Limit 1 SP
VAL_23_FIC_92543_08:Z.X.Value;PH 1stStgComp AntSrg Limit 2 PV
VAL_23_FIC_92543_09:Z.X.Value;PH 1stStgComp AntSrg Limit 2 SP
VAL_23_FIC_92543_11:Z.X.Value;PH Surge Counter
VAL_23_KA_9101_M01_60A:Z.X.Value;PH 1stStg Comp Mtr Current
VAL_23_KA_9101_M01_62C:Z.X.Value;PH 1stStg Comp Mtr Current
VAL_23_PIC_92538_01:Z.X.Value;PH 1stStgComp STV Perf OP 
VAL_23_PIC_92538_02:Z.X.Value;PH 1stStgComp STV Perf Act CtrlMod
VAL_23_PIC_92538_03:Z.X.Value;PH 1stStgComp STV Perf State
VAL_23_PIC_92538_04:Z.X.Value;PH 1stStgComp STV Perf Prim PV
VAL_23_PIC_92538_05:Z.X.Value;PH 1stStgComp STV Perf Prim SP
