Name;Description
VAL_23-KA-9101-M01_Number_of_CB_Operations:VALUE;PH (SwitchGear) MV-COMP.M. FEEDER/ Number of CB Operations
VAL_23-KA-9101-M01_OC_high stage_negative_seq_NPShigh:VALUE;PH (SwitchGear) 
VAL_23-KA-9101-M01_OC_high stage_NOC3high:VALUE;PH (SwitchGear) MV-COMP.M. FEEDER/ 50/51/51B-protection (trip 3I>>)
VAL_23-KA-9101-M01_OC_instantaneous_NOC3inst:VALUE;PH (SwitchGear) MV-COMP.M. FEEDER/ 50/51B-protection (trip 3I>>>)
VAL_23-KA-9101-M01_OC_instantaneous_residual_NEF1inst:VALUE;PH (SwitchGear) MV-COMP.M. FEEDER/ 51-3  Non Directional Earth Fault (trip Io>>>)
VAL_23-KA-9101-M01_OC_low stage_negative_seq_NPSlow:VALUE;PH (SwitchGear) 
VAL_23-KA-9101-M01_OC_low stage_NOC3low:VALUE;PH (SwitchGear) MV-COMP.M. FEEDER/ 51-protection (trip 3I>)
VAL_23-KA-9101-M01_OC_low_stage_residual_NEF1low:VALUE;PH (SwitchGear) MV-COMP.M. FEEDER/ 51-1 Non Directional Earth Fault (trip Io>)
VAL_23-KA-9101-M01_Reactive_power_kVAr:VALUE;PH (SwitchGear) 
VAL_23-KA-9101-M01_REM543_in_test_mode:VALUE;PH (SwitchGear) MV-COMP.M. FEEDER/ REM543 in test mode
VAL_23-KA-9101-M01_Running_hours:VALUE;PH (SwitchGear) 
VAL_23-KA-9101-M01_Selector_switch_local_remote:VALUE;PH (SwitchGear) MV-COMP.M. FEEDER/ Selector switch local / remote
VAL_23-KA-9101-M01_Spring_Charging_Alarm:VALUE;PH (SwitchGear) MV-COMP.M. FEEDER/ Spring Charging Alarm
VAL_23-KA-9101-M01_TCS_Protection_Trip:VALUE;PH (SwitchGear) MV-COMP.M. FEEDER/ TCS Protection Trip
VAL_23-KA-9101-M01_Thermal_overload_TOL3dev:VALUE;PH (SwitchGear) 
VAL_23-KA-9101-M01_Winding_Temperature_U1:VALUE;PH (SwitchGear) 
VAL_23-KA-9101-M01_Winding_Temperature_V1:VALUE;PH (SwitchGear) 
VAL_23-KA-9101-M01_Winding_Temperature_W1:VALUE;PH (SwitchGear) 
VAL_23-KA-9101_ASP:VALUE;PH (CBM) 1st Stage ActShaft Power
VAL_23-KA-9101_ESP:VALUE;PH (CBM) 1st Stage ExpShaft Power
VAL_23-LIC-92521:Control Module:BA;PH 1stStgSuctScrubber Level Auto
VAL_23-LIC-92521:Control Module:BX;PH 1stStgSuctScrubber Level External
VAL_23-LIC-92521:Control Module:PD;PH 1stStgSuctScrubber Level Derivate time
VAL_23-LIC-92521:Control Module:PI;PH 1stStgSuctScrubber Level Integral time
VAL_23-LIC-92521:Control Module:PP;PH 1stStgSuctScrubber Level Gain
VAL_23-LIC-92521:Control Module:YR;PH 1stStgSuctScrubber Level Working Setpoint
VAL_23-LIC-92521:Z.X.Value;PH 1stStgSuctScrubber Level Measured Value
VAL_23-LIC-92521:Z.Y.Value;PH 1stStgSuctScrubber Level Output
VAL_23-LT-92523:Z.X1.Value;PH 1stStgSuctScrubber
VAL_23-LT-92523:Z.X2.Value;PH 1stStgSuctScrubber
VAL_23-LT-92529-02:X.Value;PH 1stStgScrub I-face TopLiq
VAL_23-LT-92529-03:X.Value;PH 1stStgScrub I-face TopFoam
VAL_23-LV-92521A:Y.Value;PH 1stStgSuctScrubber Level
VAL_23-LV-92521B:Y.Value;PH 1stStgSuctScrubber Level
VAL_23-LY-92529_Alarms_PNTA:VALUE;PH (Profiler) Number of Active Tube Alarms
VAL_23-LY-92529_DensityBands_01gasLL:VALUE;PH (Profiler) Density Band 6 Lower Limit (GAS)
VAL_23-LY-92529_DensityBands_01gasUL:VALUE;PH (Profiler) Density Band 6 Upper Limit (GAS)
VAL_23-LY-92529_DensityBands_02foamLL:VALUE;PH (Profiler) Density Band 5 Lower Limit (FOAM)
VAL_23-LY-92529_DensityBands_02foamUL:VALUE;PH (Profiler) Density Band 5 Upper Limit (FOAM)
VAL_23-LY-92529_DensityBands_03oilLL:VALUE;PH (Profiler) Density Band 4 Lower Limit (OIL)
VAL_23-LY-92529_DensityBands_03oilUL:VALUE;PH (Profiler) Density Band 4 Upper Limit (OIL)
VAL_23-LY-92529_DensityBands_04emulsionLL:VALUE;PH (Profiler) Density Band 3 Lower Limit (EMULSION)
VAL_23-LY-92529_DensityBands_04emulsionUL:VALUE;PH (Profiler) Density Band 3 Upper Limit (EMULSION)
VAL_23-LY-92529_DensityBands_05waterLL:VALUE;PH (Profiler) Density Band 2 Lower Limit (WATER)
VAL_23-LY-92529_DensityBands_05waterUL:VALUE;PH (Profiler) Density Band 2 Upper Limit (WATER)
VAL_23-LY-92529_DensityBands_06sandLL:VALUE;PH (Profiler) Density Band 1 Lower Limit (SAND)
VAL_23-LY-92529_DensityBands_06sandUL:VALUE;PH (Profiler) Density Band 1 Upper Limit (SAND)
VAL_23-LY-92529_NON-SILStatus_Heartbeat:VALUE;PH (Profiler) System Heartbeat/Watchdog
VAL_23-LY-92529_Outputs_emulsionLevel:VALUE;PH (Profiler) % Scaled Level Output for Level D or Emulsion
VAL_23-LY-92529_Outputs_foamLevel:VALUE;PH (Profiler) % Scaled Level Output for Level B or Foam
VAL_23-LY-92529_Outputs_gasLevel:VALUE;PH (Profiler) % Scaled Level Output for Level A or Gas
VAL_23-LY-92529_Outputs_oilLevel:VALUE;PH (Profiler) % Scaled Level Output for Level C or Oil
VAL_23-LY-92529_Outputs_sandLevel:VALUE;PH (Profiler) % Scaled Level Output for Level F or Sand
VAL_23-LY-92529_Outputs_waterLevel:VALUE;PH (Profiler) % Scaled Level Output for Level E or Water
VAL_23-LY-92529_Setpoints_SP_emulsionHi:VALUE;PH (Profiler) Emulsion deadband high setpoint
VAL_23-LY-92529_Setpoints_SP_foamHi:VALUE;PH (Profiler) Foam deadband high setpoint
VAL_23-LY-92529_Setpoints_SP_gasHi:VALUE;PH (Profiler) Gas deadband high setpoint
VAL_23-LY-92529_Setpoints_SP_oilHi:VALUE;PH (Profiler) Oil deadband high setpoint
VAL_23-LY-92529_Setpoints_SP_waterHi:VALUE;PH (Profiler) Water deadband high setpoint
VAL_23-LY-92529_SILch0_SC0_TX1PSP:VALUE;PH (Profiler) Shutdown Channel 0 - Tube x1 Position Setpoint
VAL_23-LY-92529_SILch0_SC0_TX1SP:VALUE;PH (Profiler) Shutdown Channel 0 - Tube x1 Setpoint
VAL_23-LY-92529_SILch0_SC0_TXPSP:VALUE;PH (Profiler) Shutdown Channel 0 - Tube x Position Setpoint
VAL_23-LY-92529_SILch0_SC0_TXSP:VALUE;PH (Profiler) Shutdown Channel 0 - Tube x Setpoint
VAL_23-LY-92529_SILch0_SC0_TY1PSP:VALUE;PH (Profiler) Shutdown Channel 0 - Tube y1 Position Setpoint
VAL_23-LY-92529_SILch0_SC0_TY1SP:VALUE;PH (Profiler) Shutdown Channel 0 - Tube y1 Setpoint
VAL_23-LY-92529_SILch0_SC0_TYPSP:VALUE;PH (Profiler) Shutdown Channel 0 - Tube y Position Setpoint
VAL_23-LY-92529_SILch0_SC0_TYSP:VALUE;PH (Profiler) Shutdown Channel 0 - Tube y Setpoint
