Name,Description
VAL_23-LY-92529_Setpoints_SP_foamHi:VALUE,PH (Profiler) Foam deadband high setpoint
VAL_23-LY-92529_Setpoints_SP_gasHi:VALUE,PH (Profiler) Gas deadband high setpoint
VAL_23-LY-92529_Setpoints_SP_oilHi:VALUE,PH (Profiler) Oil deadband high setpoint
VAL_23-LY-92529_Setpoints_SP_waterHi:VALUE,PH (Profiler) Water deadband high setpoint
,
,
,
,
,
,
,
,
,
VAL_23-NY-96144-01:VALUE,PH (CBM) Phase A Negative NQN
VAL_23-NY-96144-02:VALUE,PH (CBM) Phase B Negative NQN
VAL_23-NY-96144-03:VALUE,PH (CBM) Phase C Negative NQN
VAL_23-NY-96144-04:VALUE,PH (CBM) Phase A Positive NQN
VAL_23-NY-96144-05:VALUE,PH (CBM) Phase B Positive NQN
VAL_23-NY-96144-06:VALUE,PH (CBM) Phase C Positive NQN
VAL_23-NY-96144-07:VALUE,PH (CBM) Phase A Negative Qmax
VAL_23-NY-96144-08:VALUE,PH (CBM) Phase B Negative Qmax
VAL_23-NY-96144-09:VALUE,PH (CBM) Phase C Negative Qmax
VAL_23-NY-96144-10:VALUE,PH (CBM) Phase A Positive Qmax
VAL_23-NY-96144-11:VALUE,PH (CBM) Phase B Positive Qmax
VAL_23-NY-96144-12:VALUE,PH (CBM) Phase C Positive Qmax
VAL_23-PC-9109-M01-39:X.Value,PH 1st Stg Aux Oil Pump Running
,
VAL_23-PC-9109-M01:Z.Y.Value,PH 1stStg Comp Lube Oil Pump
VAL_23-PDI-96149:X.Value,PH 1st Stg Comp Over Inner Seal
VAL_23-PDI-96150:X.Value,PH 1st Stg Comp Over Inner Seal
VAL_23-PDI-96249:X.Value,PH 1st Stg Comp Over Inner Seal
VAL_23-PDT-92501:X.Value,PH 1stStgSuctCool Gas In ESDV
VAL_23-PDT-92502:X.Value,PH 1stStgSuctCool Tubes
VAL_23-PDT-92522:X.Value,PH 1stStgSuctScrubber Gas Out
VAL_23-PDT-92530:X.Value,PH 1stStgComp Suct Str
VAL_23-PDT-92534:X.Value,PH 1stStgComp Suction
VAL_23-PDT-92551:X.Value,PH 1stStgDiscCool Gas Out ESDV
VAL_23-PDT-92602:X.Value,PH 1st Stg Disch Gas Coolers
VAL_23-PDT-96143:X.Value,PH 1st Stg Encl Coalesar Filter
VAL_23-PDT-96146:X.Value,PH 1st Stg Comp Gas Filter
VAL_23-PDT-96155:X.Value,PH 1st Stg Comp SEP. Gas Filter
VAL_23-PDT-96161:X.Value,PH 1st Stg Comp Booster Filter
VAL_23-PDT-96162:X.Value,PH 1st Stg Comp Booster
VAL_23-PDT-96167:X.Value,PH 1stStg Comp Balance Piston
VAL_23-PDT-96180:X.Value,PH 1st Stg Lube Oil Filter
,
,
,
,
,
,
,
VAL_23-PIC-96153:Z.X.Value,PH 1stStg Comp Inner Seal Measured Value
VAL_23-PIC-96153:Z.Y.Value,PH 1stStg Comp Inner Seal Output
VAL_23-PT-92504:X.Value,PH 1stStgSuctCool Gas Out
VAL_23-PT-92512:X.Value,PH 1stStgSuctCool Gas In
VAL_23-PT-92521:X.Value,PH 1stStgSuctScrubber
VAL_23-PT-92523:X.Value,PH 1stStgSuctScrubber
VAL_23-PT-92532:X.Value,PH 1stStgComp Suction
VAL_23-PT-92535:X.Value,PH 1stStgComp Suction
VAL_23-PT-92536:X.Value,PH 1stStgComp Discharge
VAL_23-PT-92539:X.Value,PH 1stStgComp Discharge
VAL_23-PT-92540:X.Value,PH 1st Stg Comp Suction
VAL_23-PT-96149:Z.X1.Value,PH 1st Stage Comp Inner Seal DE
VAL_23-PT-96149:Z.X2.Value,PH 1st Stage Comp Inner Seal DE
VAL_23-PT-96150:Z.X1.Value,PH 1st Stg Inner Seal NDE
VAL_23-PT-96150:Z.X2.Value,PH 1st Stg Inner Seal NDE
VAL_23-PT-96156:Z.X1.Value,PH 1st Stg Outer Seal DE
VAL_23-PT-96156:Z.X2.Value,PH 1st Stg Outer Seal DE
VAL_23-PT-96157:Z.X1.Value,PH 1st Stg Outer Seal NDE
VAL_23-PT-96157:Z.X2.Value,PH 1st Stg Outer Seal NDE
VAL_23-PT-96160-03:X.Value,PH 1st Stg Comp Separation Gas
VAL_23-PT-96160:Z.X1.Value,PH 1st Stg Comp Separation Gas
VAL_23-PT-96160:Z.X2.Value,PH 1st Stg Comp Separation Gas
VAL_23-PT-96186-03:X.Value,PH 1st Stg Lube Lube Oil Header
VAL_23-PT-96186:Z.X1.Value,PH 1st Stg Oil Header
VAL_23-PT-96186:Z.X2.Value,PH 1st Stg Oil Header
VAL_23-TE-96137-01:X.Value,PH 1stStg Mtr Cold Air
VAL_23-TE-96137-02:X.Value,PH 1stStg Mtr Cold Air
VAL_23-TE-96137-03:X.Value,PH 1stStg Mtr Hot Air
,
,
,
,
,
,
,
VAL_23-TIC-92504:Z.X.Value,PH 1stStgSuctCool Gas Out Measured Value
VAL_23-TIC-92504:Z.Y.Value,PH 1stStgSuctCool Gas Out Output
,
,
,
,
,
,
,
VAL_23-TIC-92604:Z.X.Value,PH 1stStgDiscCool Gas Out Measured Value
VAL_23-TIC-92604:Z.Y.Value,PH 1stStgDiscCool Gas Out Output
VAL_23-TIC-92604B:Z.X.Value,PH 1stStgDiscCool Gas Out Measured Value
VAL_23-TIC-92604B:Z.Y.Value,PH 1stStgDiscCool Gas Out Output
,
,
,
,
,
,
,
VAL_23-TIC-96147:Z.X.Value,PH 1stStg Comp Seal Gas Measured Value
VAL_23-TIC-96147:Z.Y.Value,PH 1stStg Comp Seal Gas Output
,
,
,
,
,
,
,
VAL_23-TIC-96148:Z.X.Value,PH 1stStg Comp Seal Gas Measured Value
VAL_23-TIC-96148:Z.Y.Value,PH 1stStg Comp Seal Gas Output
VAL_23-TT-92502:X.Value,PH 1stStgSuctCool Gas In
VAL_23-TT-92512:X.Value,PH 1stStgSuctCool Gas In
VAL_23-TT-92533:X.Value,PH 1stStgComp Suction
VAL_23-TT-92537:X.Value,PH 1stStgComp Discharge
VAL_23-TT-92539:X.Value,PH 1stStgComp Discharge
VAL_23-TT-92602:X.Value,PH 1stStgDiscCool Gas In
VAL_23-TT-92603:X.Value,PH 1stStgDiscCool Gas Out
VAL_23-TT-92604A:X.Value,PH 1stStgDiscCool Gas Out Output
VAL_23-TT-96101-03:Z.X.Value,PH 1stStg Comp Journ BRG DE
VAL_23-TT-96102-03:Z.X.Value,PH 1stStg Comp Journ BRG NDE
VAL_23-TT-96103-01:Z.X.Value,PH 1stStg Comp Thrust BRG IN
VAL_23-TT-96103-03:Z.X.Value,PH 1stStg Comp Thrust BRG IN
VAL_23-TT-96104-01:Z.X.Value,PH 1stStg Comp Thrust BRG OUT
VAL_23-TT-96104-03:Z.X.Value,PH 1stStg Comp Thrust BRG OUT
VAL_23-TT-96111-01:Z.X.Value,PH 1stStg Comp 1 Journ BRG DE
VAL_23-TT-96111-03:Z.X.Value,PH 1stStg Comp 1 Journ BRG DE
VAL_23-TT-96112-01:Z.X.Value,PH 1stStg Comp 1 Journ BRG NDE
VAL_23-TT-96112-03:Z.X.Value,PH 1stStg Comp 1 Journ BRG NDE
VAL_23-TT-96113-01:Z.X.Value,PH 1stStg Gear2 Journ BRG NDE
VAL_23-TT-96113-03:Z.X.Value,PH 1stStg Gear2 Journ BRG NDE
VAL_23-TT-96114-01:Z.X.Value,PH 1stStg Gear2 Journ BRG DE
VAL_23-TT-96114-03:Z.X.Value,PH 1stStg Gear2 Journ BRG DE
VAL_23-TT-96115-01:Z.X.Value,PH 1stStg Gear Thrust BRG IN
VAL_23-TT-96115-03:Z.X.Value,PH 1stStg Gear Thrust BRG IN
VAL_23-TT-96116-01:Z.X.Value,PH 1stStg Gear Thrust BRG OUT
VAL_23-TT-96116-03:Z.X.Value,PH 1stStg Gear Thrust BRG OUT
VAL_23-TT-96131-01:Z.X.Value,PH 1stStg Journ BRG NDE
VAL_23-TT-96132-01:Z.X.Value,PH 1stStg Journ BRG DE
VAL_23-TT-96136-02:Z.X.Value,PH 1stStg Mtr Winding U1
VAL_23-TT-96136-05:Z.X.Value,PH 1stStg Mtr Winding V
