,Mean,Std
VAL_23-FT-92537-01:X.Value,161806.48548718967,3376.678731326749
VAL_23-TT-92539:X.Value,124.49217330258384,0.9765268517073337
VAL_23-PT-92539:X.Value,12.697301816699177,0.24748713562264715
VAL_23-FT-92512:X.Value,94678.10681710289,8732.4456671631
VAL_23-FT-92521:X.Value,3.760233555179484,0.9079262048522454
VAL_23-KA-9101_ASP:VALUE,9024.60469501419,208.58262860497794
VAL_23-KA-9101_ESP:VALUE,8294.625964391462,177.30947519758655
VAL_23-LIC-92521:Z.X.Value,32.99151764213446,0.6235174840446086
VAL_23-LIC-92521:Z.Y.Value,26.4281260199018,8.811870830281103
VAL_23-LT-92523:Z.X2.Value,32.52546258334692,0.8208963576845203
VAL_23-PDT-92502:X.Value,0.2467361981744953,0.02253903782885294
VAL_23-PDT-92522:X.Value,0.26828438073209365,0.017063079535476325
VAL_23-PDT-92534:X.Value,103.65208526306519,4.056317701760988
VAL_23-PT-92512:X.Value,3.287669808201073,0.07112868176257658
VAL_23-PT-92523:X.Value,2.896979464265992,0.07789474616660794
VAL_23-TIC-92504:Z.X.Value,39.665258008510804,1.0459126743818195
VAL_23-TT-92512:X.Value,46.59971756354963,1.9763988064351976
VAL_23-VA-9110-M01-EL:XS.MeasuredValues.CurrentL2.Value.Value,0.5798884845857019,0.0042621603112598435
VAL_23_KA_9101_M01_62C:Z.X.Value,9038.092303649219,161.98665896068397
VAL_23_TT_92532:Z.X.Value,32.758709201534735,1.0000673191531242
VAL_23_ZT_92543:Z.X.Value,38.427172146568644,3.526702702898484
